"No.","station_id","C_conc_0.30cm","C_conc_30.100cm","Bulk_density_0.30cm","Bulk_density_30.100cm","C_stock.tons.ha._0.30cm","C_stock.tons.ha._30.100cm","Texture_0.30cm_.Sand","Texture_0.30cm_.Clay","Texture_0.30cm_.Silt","Textural.class_0.30cm","Texture_30.100cm_.Sand","Texture_30.100cm_.Clay","Texture_30.100cm_.Silt","Textural.class_30.100cm","Lon","Lat","MAT","MAP","Fire_frequency"
440,"id_359",0.8,0.36,1,1.32,24.02,14.24,60,32.4,7.6,"SANDY CLAY LOAM",34,58.4,7.6,"CLAY",25.1811924,-17.381769,23.5749996503194,658,7
441,"id_363",2.04,0.76,1.4,1.3,85.48,29.75,62,28.4,9.6,"SANDY CLAY LOAM",56,32.4,11.6,"SANDY CLAY LOAM",25.0403817,-17.3642196,23.4666666984558,669,4
442,"id_364",1.48,0.52,1.7,1.51,74.88,23.49,76,12.4,11.6,"SANDY LOAM",78,14.4,7.6,"SANDY LOAM",25.117556,-17.3293395,23.3666666348775,676,0
443,"id_366",1,0.8,1.3,1.44,38.9,34.6,72,16.4,11.6,"SANDY LOAM",74,20.4,5.6,"SANDY CLAY LOAM",25.1474819,-17.2214428,23.2833333015442,669,5
444,"id_367",1.6,1.12,1.5,1.56,70.97,52.28,70,16.4,13.6,"SANDY LOAM",68,24.4,7.6,"SANDY CLAY LOAM",25.1104528,-17.2820409,23.2833331425985,667,8
445,"id_369",1,0.96,1.5,1.56,46.03,45,64,12.4,23.6,"SANDY LOAM",58,24.4,17.6,"SANDY CLAY LOAM",25.1577767,-17.1844049,23.25,666,6
446,"id_370",1.04,1.16,1.7,1.76,52.52,61.12,84,10.4,5.6,"LOAMY SAND",80,10.4,9.6,"SANDY LOAM",25.1376979,-17.2140521,23.2749999364217,673,0
447,"id_374",1.2,1.2,1.7,1.43,60.98,51.62,70,28.4,1.6,"SANDY CLAY LOAM",66,26.4,7.6,"SANDY CLAY LOAM",25.1319843,-17.3576452,23.4416667620341,657,3
448,"id_376",1.04,0.8,1.7,1.61,53.35,38.67,68,22.4,9.6,"SANDY CLAY LOAM",58,32.4,9.6,"SANDY CLAY LOAM",25.0809693,-17.2785262,23.2999998728434,664,1
449,"id_378",3,1.2,1.3,1.53,118.86,55.24,24.64,54.4,20.96,"CLAY",18.64,64.4,16.96,"CLAY",25.0997043,-17.3798649,23.5583332379659,649,7
450,"id_379",1.04,0.8,1.7,1.66,54.35,39.92,64.64,18.4,16.96,"SANDY LOAM",66.64,20.4,12.96,"SANDY CLAY LOAM",25.0773393,-17.2850784,23.3166666030884,672,2
451,"id_380",0.84,0.68,1,1.38,24.32,28.06,80.64,12.4,6.96,"SANDY LOAM",70.64,20.4,8.96,"SANDY CLAY LOAM",25.0961738,-17.3948418,23.6166666348775,666,8
452,"id_393",1,1.32,1.5,1.36,44.72,53.86,50.64,34.4,14.96,"SANDY CLAY LOAM",52.64,30.4,16.96,"SANDY CLAY LOAM",25.1714758,-17.4252705,23.7500001589457,651,4
453,"id_402",1.08,0.68,1.2,1.77,37.61,36.2,56.64,30.4,12.96,"SANDY CLAY LOAM",50.64,30.4,18.96,"SANDY CLAY LOAM",25.1754662,-17.3940343,23.6416664123535,649,8
454,"id_414",1.04,0.56,1.3,1.74,39.54,29.22,72.64,18.4,8.96,"SANDY LOAM",40.64,30.4,28.96,"CLAY LOAM",25.1514664,-17.4181369,23.6999999682109,660,7
455,"id_417",0.96,0.64,1.7,1.93,48.13,37.01,92.64,4.4,2.96,"SAND",86.64,8.4,4.96,"LOAMY SAND",25.2383903,-17.439698,23.5,647,1
456,"id_420",0.96,0.64,1.4,1.46,40.16,27.95,41.2,46.8,12,"CLAY",37.2,30.8,32,"CLAY LOAM",25.1474591,-17.4078492,23.6166664759318,645,10
457,"id_436",1.36,0.8,1.6,1.56,64.86,37.37,64.64,20.4,14.96,"SANDY CLAY LOAM",42.64,48.4,8.96,"CLAY",25.2723335,-17.466329,23.516666730245,648,0
458,"id_275",0.88,1.08,1.3,1.39,34.63,45.17,42.64,40.4,16.96,"CLAY",46.64,38.4,14.96,"SANDY CLAY",25.2123306,-17.0257364,22.8583334287008,681,2
