"Year","Date","Site","Habitat","Land_class","Burned","Vegetation","Wet_biomass.g.","Dry_biomass.g.","Biomass.g.m2.","Sand...","Notes","MAT","MAP","Fire_frequency","SOC_conc30","SOC_conc70","Section_dry_weight30","Section_dry_weight70","BD30","BD70","SOC_stock30","SOC_stock70","SOC_stock_1m","lon","lat"
2022,2022-10-18,"MA155","woodland","woodland","Late","MIXTURE",0,0,0,95,NA,22.6416664123535,670,4,0.234,0.078,1857,3968,1.60843934324707,1.47294883775776,11.2912441895945,8.04230065415738,19.3335448437518,24.9352924890088,-17.1271316385149
2022,2022-11-11,"MA156","woodland","woodland","Early","ANNUALS",13,12,192,95,NA,21.783332824707,656,4,0.273,0.078,1269,4509.5,1.09914352535301,1.6739573548056,9.00198547264113,9.13980715723859,18.1417926298797,24.4005223280112,-17.3716921214399
2022,2022-10-11,"MA158","dambo grassland","grassland","Late","MIXTURE",0,0,0,50,NA,23.5499992370605,669,6,0.507,0.156,443,2455,0.383704162120869,0.911312851989745,5.83614030585841,9.95153634372801,15.7876766495864,25.0596440091421,-17.4162272585298
2022,2022-11-01,"MA159","woodland","woodland","Late","MIXTURE",0,0,0,80,NA,22.0750007629395,674,8,0.78,0.117,1239.5,2544.5,1.07359211952329,0.944535866349452,25.122055596845,7.73574874540201,32.857804342247,24.5772649401259,-17.1453803101709
2023,NA,"MA160",NA,NA,"Early","MIXTURE",29.23,28.07,449.07,95,NA,21.75,689,2,0.585,0.195,1304.5,3114.5,1.12989182728369,1.15612377903139,19.8296015688287,15.7810895837785,35.6106911526072,24.5296766953551,-17.0237778699584
2023,NA,"MA161",NA,NA,"Early","PERENNIALS",29.4,28.17,450.67,90,NA,21.7916660308838,730,2,0.507,0.351,1891.5,4440.5,1.63832149582759,1.64834408116516,24.9188699515377,40.4998140742279,65.4186840257656,24.522059828859,-16.55099775328
2023,NA,"MA162",NA,NA,"Early","PERENNIALS",34.13,32.57,521.07,70,NA,23.8250007629395,624,9,1.46,1.03,823,2622.5,0.712840915181659,0.973490001769086,31.2224320849567,70.1886291275511,101.411061212508,25.090692263778,-17.574864848564
2023,NA,"MA163",NA,NA,"Unburned","MIXTURE",30.13,28.9,462.4,90,NA,21.75,734,6,0.195,0.117,1747.5,4184.5,1.51359598940456,1.55331512389046,8.85453653801665,12.7216508646629,21.5761874026795,24.6712314504548,-16.4392369116163
2023,NA,"MA164",NA,NA,"Late","MIXTURE",38.2,37.6,601.6,95,NA,22.1083335876465,691,1,0.468,0.117,1754.5,2939.5,1.51965903485568,1.09116257776939,21.3360128493737,8.93662151193131,30.272634361305,24.1945735880137,-16.8539177666296
2023,NA,"MA165",NA,NA,"Early","PERENNIALS",36.97,34.8,556.8,80,NA,22.5249996185303,699,4,0.78,0.585,1022,2895.5,0.885204635863494,1.0748294757378,20.7137884792058,44.014267031463,64.7280555106688,25.1110098387205,-17.0114613222557
2023,NA,"MA166",NA,NA,"Early","ANNUALS",0,0,0,95,NA,22.408332824707,687,4,0.468,0.156,1236.5,3145.5,1.07099367147281,1.16763119182637,15.0367511474782,12.750532614744,27.7872837622222,25.0061286160504,-16.9916407389992
2023,NA,"MA167",NA,NA,"Early","PERENNIALS",29.87,28.87,461.87,95,NA,22.408332824707,665,5,0.507,0.312,1388,3265,1.20221529802204,1.21199041211671,18.2856946829153,26.4698706006289,44.7555652835442,24.7679395448296,-17.1333939884835
2023,NA,"MA168",NA,NA,"Unburned","ANNUALS",30,28.97,463.47,90,NA,21.8249988555908,683,1,0.351,0.078,939,3522,0.813314239800216,1.30739057625576,8.56419894509628,7.13835254635643,15.7025514914527,24.419138234668,-17.0884906919365
2023,NA,"MA169",NA,NA,"Late","MIXTURE",21.1,20.13,322.13,90,NA,22.533332824707,651,1,0.897,0.195,1888,4012.5,1.63528997310203,1.48946754322153,44.0056531761757,20.3312319649739,64.3368851411495,24.7291108738721,-17.3208935416186
2023,NA,"MA170",NA,NA,"Unburned","PERENNIALS",27,25.77,412.27,75,NA,21.7416667938232,729,5,1.326,0.546,2279,4496,1.97395436901458,1.66894606213682,78.5239047994001,63.7871184948693,142.311023294269,24.5645906301563,-16.5556362564732
